label,size,pct,satisfaction_score,age,purchases_count,avg_sale_price,median_sale_price,avg_price_per_sqft,total_listings
0,51,0.0255,3.4901960784313726,61.78431372549019,7.294117647058823,330963.050861301,313458.60029411764,301.4889865319718,7.294117647058823
1,813,0.4065,2.936039360393604,52.003690036900366,3.4145141451414514,411547.22777613776,425228.4462792128,307.8289231407637,3.4145141451414514
2,1136,0.568,3.074823943661972,53.57482394366197,3.659330985915493,301683.8908119131,282889.21873679577,298.7481474990608,3.659330985915493
